Date,AAPL,BA,DIS,JNJ,JPM,NEE,PG,XOM
2012-01-03,12.466093063354492,60.731109619140625,34.30062484741211,47.34120178222656,25.176746368408203,10.707627296447754,47.32184982299805,53.588890075683594
2012-01-04,12.533085823059082,60.82109069824219,34.78410339355469,47.053775787353516,25.33623695373535,10.68038272857666,47.30060577392578,53.601348876953125
2012-01-05,12.67222785949707,60.1664924621582,35.36608123779297,46.996273040771484,25.865428924560547,10.816609382629395,47.102333068847656,53.43933868408203
2012-01-06,12.804701805114746,60.53472137451172,35.733177185058594,46.5866813659668,25.633459091186523,10.702177047729492,46.98904800415039,53.040550231933594
2012-01-09,12.784391403198242,60.98475646972656,35.589908599853516,46.65853500366211,25.58995246887207,10.714897155761719,47.187313079833984,53.277320861816406
2012-01-10,12.830164909362793,61.369327545166016,35.48246765136719,46.85255432128906,26.133644104003906,10.762117385864258,46.96780014038086,53.41442108154297
2012-01-11,12.809248924255371,61.15659713745117,34.6497917175293,46.80225372314453,26.575857162475586,10.754851341247559,46.50754165649414,53.01560974121094
2012-01-12,12.774086952209473,61.786643981933594,34.67666244506836,46.87411880493164,26.713594436645508,10.787548065185547,46.59959411621094,52.803733825683594
2012-01-13,12.726190567016602,61.04202651977539,34.38119888305664,46.895668029785156,26.039413452148438,10.738505363464355,46.59959411621094,52.89097595214844
2012-01-17,12.874423027038574,61.56573486328125,34.45281982421875,46.79507827758789,25.307231903076172,10.743953704833984,46.91823196411133,53.39572525024414
2012-01-18,13.008110046386719,61.41843032836914,34.93631362915039,46.91004943847656,26.488874435424805,10.807530403137207,47.128780364990234,53.869266510009766
2012-01-19,12.966885566711426,61.82756042480469,35.312355041503906,46.84537887573242,26.771589279174805,10.678564071655273,47.164466857910156,54.23070526123047
2012-01-20,12.741042137145996,61.79483413696289,35.195960998535156,46.902870178222656,27.083297729492188,10.773017883300781,47.27155303955078,54.51732635498047
2012-01-23,12.956575393676758,61.786643981933594,35.142242431640625,46.70883560180664,27.3007869720459,10.782097816467285,46.39362335205078,54.5048713684082
2012-01-24,12.744376182556152,61.663917541503906,35.142242431640625,46.70883560180664,27.3007869720459,10.751218795776367,46.0367431640625,54.32417297363281
2012-01-25,13.540122985839844,62.0402946472168,35.419803619384766,46.86693572998047,27.257291793823242,10.907432556152344,46.37936782836914,54.349090576171875
2012-01-26,13.478588104248047,61.62297821044922,35.231773376464844,47.21185302734375,27.177549362182617,10.838407516479492,46.250885009765625,54.068687438964844
2012-01-27,13.55892276763916,61.00111389160156,35.142242431640625,47.111244201660156,26.97456932067871,10.88381576538086,45.89400863647461,53.48295593261719
2012-01-30,13.732616424560547,60.682003021240234,34.90945816040039,47.21904754638672,26.82957649230957,10.885629653930664,45.11602020263672,53.27108383178711
2012-01-31,13.837808609008789,60.6983528137207,34.8288688659668,47.36276626586914,27.039806365966797,10.871097564697266,44.994693756103516,52.18061065673828
2012-02-01,13.829015731811523,61.67210006713867,35.2138671875,47.20467758178711,27.257291793823242,10.889266014099121,45.11602020263672,52.32393264770508
2012-02-02,13.79658031463623,61.54933166503906,34.83781433105469,47.1328010559082,27.221038818359375,10.918329238891602,45.19453430175781,52.04975891113281
2012-02-03,13.934815406799316,62.46580123901367,35.81374740600586,47.16874313354492,27.75023078918457,10.936495780944824,44.801971435546875,52.915897369384766
2012-02-06,14.064863204956055,61.74574661254883,36.225608825683594,46.84537887573242,27.648746490478516,10.892900466918945,45.330135345458984,53.43308639526367
2012-02-07,14.212185859680176,61.532981872558594,36.691184997558594,46.895668029785156,27.45301055908203,10.931041717529297,45.465763092041016,53.80076217651367
2012-02-08,14.450156211853027,62.109127044677734,36.95083999633789,46.88130569458008,27.76473617553711,10.961922645568848,45.422943115234375,53.456153869628906
2012-02-09,14.950033187866211,62.47129821777344,37.183616638183594,46.629783630371094,27.445764541625977,10.95102596282959,45.70842361450195,53.18046951293945
2012-02-10,14.957613945007324,61.689369201660156,37.111995697021484,46.42140197753906,27.264549255371094,10.963737487792969,45.59423828125,52.50382995605469
2012-02-13,15.235898971557617,61.6070556640625,37.416419982910156,46.47888946533203,27.76473617553711,10.90561580657959,45.84403991699219,52.89225387573242
2012-02-14,15.443854331970215,62.19145965576172,37.246299743652344,46.42859649658203,27.4892635345459,10.967371940612793,46.02247619628906,53.04890441894531
2012-02-15,15.086446762084961,61.90337371826172,36.932926177978516,46.457332611083984,27.1123046875,10.892900466918945,46.07244110107422,52.70430374145508
2012-02-16,15.22407341003418,61.95272445678711,37.192569732666016,46.65135955810547,27.54726219177246,10.976452827453613,46.536376953125,53.512535095214844
2012-02-17,15.22134780883789,62.01860427856445,37.38059997558594,46.7016487121582,27.887981414794922,10.938307762145996,46.32939147949219,53.64411163330078
2012-02-21,15.607244491577148,62.32312774658203,37.21944046020508,46.73759078979492,27.88072395324707,10.972820281982422,45.97966766357422,54.23931884765625
2012-02-22,15.552375793457031,62.602962493896484,36.95083999633789,46.70883560180664,27.598005294799805,10.931041717529297,45.99393081665039,54.45861053466797
2012-02-23,15.653928756713867,62.43012619018555,37.13886260986328,46.78068923950195,27.90247344970703,10.936495780944824,47.40714645385742,54.52125930786133
2012-02-24,15.83642292022705,62.602962493896484,36.98664855957031,46.72996520996094,27.75023078918457,11.038211822509766,47.614139556884766,54.72175216674805
2012-02-27,15.937983512878418,61.90337371826172,37.282108306884766,46.72269821166992,28.315689086914062,11.047293663024902,47.606998443603516,54.65282440185547
2012-02-28,16.230504989624023,61.86221694946289,37.54176330566406,47.25191116333008,28.424428939819336,10.985533714294434,48.0994987487793,54.596458435058594
